 create table myDataTable ( id int , VehicleCondition varchar (250)   , Age varchar (250)   , Gender varchar (250)   , PassengerGender varchar (250)   , Season varchar (250)   , No_of_Passengers varchar (250)   , Plate_Number varchar (250)   , WeekofMonth varchar (250)   , DriverOccupation varchar (250)   , Speed int   , Label varchar (250)   );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(1   ,'Bad' , '21-40' , 'Male' , 'Female' , 'Bad' , 'three' , 'Bad' , 'Mid' , 'Govt' , 94 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(2   , 'Bad' , '41-Above' , 'Female' , 'Female' , 'Good' , 'three' , 'Good' , 'Last' , 'NonGov' , 67 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(3   , 'Bad' , '21-40' , 'Female' , 'Male' , 'Bad' , 'one' , 'Good' , 'Last' , 'Govt' , 40 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(4   , 'Bad' , '21-40' , 'Female' , 'Female' , 'Good' , 'three' , 'Bad' , 'Start' , 'NonGov' , 49 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(5   , 'Bad' , '21-40' , 'Female' , 'Male' , 'Bad' , 'two' , 'Bad' , 'Mid' , 'Govt' , 61 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(6   , 'Good' , '41-Above' , 'Female' , 'Female' , 'Bad' , 'three' , 'Good' , 'Start' , 'Govt' , 92 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(7   , 'Good' , '41-Above' , 'Male' , 'Female' , 'Bad' , 'two' , 'Good' , 'Last' , 'Govt' , 83 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(8   , 'Good' , '41-Above' , 'Female' , 'Female' , 'Bad' , 'two' , 'Bad' , 'Last' , 'Govt' , 99 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(9   , 'Good' , '21-40' , 'Female' , 'Male' , 'Good' , 'two' , 'Good' , 'Start' , 'Govt' , 76 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(10   , 'Good' , '41-Above' , 'Male' , 'Male' , 'Bad' , 'one' , 'Good' , 'Start' , 'NonGov' , 44 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(11   , 'Bad' , '21-40' , 'Male' , 'Male' , 'Good' , 'three' , 'Good' , 'Last' , 'Govt' , 43 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(12   , 'Bad' , '15-20' , 'Female' , 'Female' , 'Good' , 'three' , 'Good' , 'Mid' , 'Govt' , 87 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(13   , 'Good' , '15-20' , 'Female' , 'Female' , 'Good' , 'two' , 'Bad' , 'Mid' , 'Govt' , 62 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(14   , 'Good' , '41-Above' , 'Female' , 'Female' , 'Bad' , 'three' , 'Good' , 'Start' , 'NonGov' , 80 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(15   , 'Bad' , '21-40' , 'Female' , 'Male' , 'Good' , 'three' , 'Bad' , 'Mid' , 'NonGov' , 60 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(16   , 'Good' , '41-Above' , 'Male' , 'Female' , 'Good' , 'three' , 'Good' , 'Mid' , 'NonGov' , 60 , 'Yes' );
